food;ingredients;category;kitchen;food_url
Бананово-грушевый смузи;груши, бананы, стебель сельдерея;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/bananovo-grushevij-smuzi-19003
Быстрая сангрия;лимон, апельсины, апельсиновый сок, бренди, куантро, газированная вода, красное сухое вино, лед;Напитки;Испанская кухня;https://eda.ru/recepty/napitki/sangriya-17277
Тархун;листья эстрагона, сахар, вода;Напитки;Грузинская кухня;https://eda.ru/recepty/napitki/tarhun-79959
Утренний фруктовый смузи;бананы, киви, малина замороженная , фундук, цветочный мед;Напитки;Американская кухня;https://eda.ru/recepty/napitki/utrennij-fruktovij-smuzi-35594
Коктейль «Пьяный банан»;мороженое, молоко, йогурт, бананы, сливочный ликер, шоколадный ликер;Напитки;Русская кухня;https://eda.ru/recepty/napitki/koktejl-pjanij-banan-20604
Густой горячий шоколад со взбитыми сливками и зефиром;кукурузный крахмал, молоко, темный шоколад, мед, ванильный экстракт, соль, взбитые сладкие сливки, маршмеллоу;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/gustoj-gorjachij-shokolad-so-vzbitimi-slivkami-zefirom-23528
Апельсиновый крюшон с шампанским;апельсины, апельсиновый сок, сахар, сухое шампанское;Напитки;Французская кухня;https://eda.ru/recepty/napitki/apelsinovij-krjushon-s-shampanskim-20481
Масала-чай с перцем;молоко, кардамон, черный перец горошком, корица, гвоздика, сахар, черный чай;Напитки;Индийская кухня;https://eda.ru/recepty/napitki/masala-chaj-22047
Коктейль «Мохито» (Mojito);светлый ром, лайм, мята, сахарный сироп, газированная вода;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-mohito-mojito-41071
Эггног;яичный белок, яичный желток, молоко, сливки 35%-ные, виски, мускатный орех, ванильная эссенция, сахар;Напитки;Британская кухня;https://eda.ru/recepty/napitki/eggnog-94175
Глинтвейн;сахар, яблоко, апельсины, корица, мускатный орех, гвоздика, красное сухое вино;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/glintvejn-20591
Красный традиционный глёг;красное вино, темный ром, мед, миндаль, изюм, апельсины, лимон, яблоко, палочки корицы, кардамон, гвоздика, анис (бадьян), душистый перец горошком;Напитки;Шведская кухня;https://eda.ru/recepty/napitki/krasnyy-tradicionnyy-glyog-57929
