food;ingredients;category;kitchen;food_url
Салат из капусты с креветками;чеснок, белокочанная капуста, креветки, редис, кислые яблоки, лук-порей, уксус, оливковое масло, сахар, растительное масло, приправа для моркови по-корейски, соль, черная соль, молотый черный перец;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-iz-kapusti-s-krevetkami-30367
Салат с курицей, огурцом и черносливом;куриное яйцо, куриная грудка, чернослив без косточек, майонез, огурцы, лавровый лист, душистый перец горошком, соль;Салаты;Русская кухня;https://eda.ru/recepty/salaty/salat-s-kuricey-ogurcom-i-chernoslivom-41548
Салат из телячьего языка;шампиньоны, бакинские огурцы, телячий язык, укроп, кинза, петрушка, латук, российский сыр, помидоры, красный лук, оливковое масло, майонез, соль, молотый черный перец, черный душистый перец;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-iz-teljachego-jazika-15681
Салат «Ташкент»;говядина, редька, белый лук, майонез, лавровый лист, черный перец горошком, растительное масло, куриное яйцо, соль;Салаты;Узбекская кухня;https://eda.ru/recepty/salaty/salat-tashkent-139271
Салат с шампиньонами;шампиньоны, репчатый лук, белый виноград , грецкие орехи, майонез, петрушка, растительное масло, молотый черный перец, соль;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-shampinonami-140232
Салат из курицы с ананасами и кукурузой;куриное яйцо, майонез, консервированная кукуруза, консервированный ананас, огурцы, куриное филе;Салаты;Русская кухня;https://eda.ru/recepty/salaty/salat-iz-kurici-s-ananasami-kukuruzoj-16805
Салат с авокадо и креветками;авокадо, помидоры, зеленый салат, креветки, соус «1000 островов», соль, лимонный сок, молотый черный перец;Салаты;Русская кухня;https://eda.ru/recepty/salaty/salat-s-avokado-krevetkami-15460
Салат из телячьего языка;шампиньоны, бакинские огурцы, телячий язык, укроп, кинза, петрушка, латук, российский сыр, помидоры, красный лук, оливковое масло, майонез, соль, молотый черный перец, черный душистый перец;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-iz-teljachego-jazika-15681
Салат с куриной печенью и гранатом;куриная печень, оливковое масло, сливочное масло, бальзамический уксус, трюфельное масло, зерна граната, смесь салатных листьев, соль, молотый черный перец;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-kurinoy-pechenyu-i-granatom-81347
Салат с авокадо и креветками;авокадо, помидоры, зеленый салат, креветки, соус «1000 островов», соль, лимонный сок, молотый черный перец;Салаты;Русская кухня;https://eda.ru/recepty/salaty/salat-s-avokado-krevetkami-15460
Салат «Цезарь»;яичный желток, чеснок, вустерширский соус, лимонный сок, французский багет, салат романо, сыр пармезан, растительное масло, оливковое масло, соль, молотый черный перец;Салаты;Американская кухня;https://eda.ru/recepty/salaty/salat-cezar-114493
Салат «Ташкент»;говядина, редька, белый лук, майонез, лавровый лист, черный перец горошком, растительное масло, куриное яйцо, соль;Салаты;Узбекская кухня;https://eda.ru/recepty/salaty/salat-tashkent-139271
Салат с шампиньонами;шампиньоны, репчатый лук, белый виноград , грецкие орехи, майонез, петрушка, растительное масло, молотый черный перец, соль;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-shampinonami-140232
Куриный салат с ананасами;куриное филе, консервированный ананас, российский сыр, чеснок, майонез, соль, молотый черный перец;Салаты;Русская кухня;https://eda.ru/recepty/salaty/kurinij-salat-s-ananasami-32625
Креольский салат с бататом;молодой шпинат «белая дача», авокадо, красный лук, помидоры черри, батат, кинза, очищенные семена тыквы, лайм, оливковое масло, мед, перец чили хлопьями, соль;Салаты;Американская кухня;https://eda.ru/recepty/salaty/kreolskiy-salat-s-batatom-92163
Салат с брюссельской капустой и гранатом;брюссельская капуста, тыква, чеснок, гранаты, мед, горчица, белый винный уксус, оливковое масло, сливочное масло, яблоки «гренни-смит», салатная смесь «еда», сахар, соль, молотый черный перец;Салаты;Вегетарианская еда;https://eda.ru/recepty/salaty/salat-s-bryusselskoy-kapustoy-i-granatom-114462
Салат «Маса-Бармаса»;спаржа, цукини, гребешки, помидоры черри, проростки зеленого гороха, лимонный сок, оливковое масло, соль, растительное масло, молотый черный перец, приправа фурикакэ;Салаты;Авторская кухня;https://eda.ru/recepty/salaty/salat-masa-barmasa-30363
